Position	Label	Category	Price	Rent
0	Go	Other	0	2
1	Old Kent Road	Brown	60	4
2	Community Chest 1	Community Chest	0	0
3	Whitechapel Road	Brown	60	6
4	Income Tax	Tax	200	0
5	Kings Cross Station	Station	200	25
6	The Angel Islington	Light Blue	100	6
7	Chance 1	Chance	0	0
8	Euston Road	Light Blue	100	6
9	Pentonville Road	Light Blue	120	8
10	Just Visiting	Other	0	0
11	Pall Mall	Pink	140	10
12	Electric Company	Utility	150	0
13	Whitehall	Pink	140	10
14	Northumberland Avenue	Pink	160	12
15	Marylebone Station	Station	200	25
16	Bow Street	Orange	180	14
17	Community Chest 2	Community Chest	0	0
18	Marlborough Street	Orange	180	14
19	Vine Street	Orange	200	16
20	Free Parking	Other	0	0
21	Strand	Red	220	18
22	Chance 2	Chance	0	0
23	Fleet Street	Red	220	18
24	Trafalgar Square	Red	240	20
25	Fenchurch Street Station	Station	200	25
26	Leicester Square	Yellow	260	22
27	Coventry Street	Yellow	260	22
28	Water Works	Utility	150	0
29	Picadilly	Yellow	280	22
30	Go To Jail	Other	0	0
31	Regent Street	Green	300	26
32	Oxford Street	Green	300	26
33	Community Chest 3	Community Chest	0	0
34	Bond Street	Green	320	28
35	Liverpool Street Station	Station	200	25
36	Chance 3	Chance	0	0
37	Park Lane	Dark Blue	350	35
38	Super Tax	Tax	100	0
39	Mayfair	Dark Blue	400	50
